City	Date	SSC	Date	Mo=W+M	65+	W	M
KHB	20000101	5	01.01.2000	21	11	9	12
KHB	20000102	5	02.01.2000	24	14	14	10
KHB	20000103	7	03.01.2000	35	13	9	26
KHB	20000104	4	04.01.2000	24	7	11	13
KHB	20000105	4	05.01.2000	19	7	8	11
KHB	20000106	7	06.01.2000	24	9	13	11
KHB	20000107	7	07.01.2000	20	10	10	10
KHB	20000108	7	08.01.2000	23	14	10	13
KHB	20000109	5	09.01.2000	17	6	7	10
KHB	20000110	5	10.01.2000	14	7	6	8
KHB	20000111	5	11.01.2000	28	16	13	15
KHB	20000112	2	12.01.2000	34	13	18	16
KHB	20000113	2	13.01.2000	15	5	6	9
KHB	20000114	5	14.01.2000	28	15	15	13
KHB	20000115	5	15.01.2000	22	8	9	13
KHB	20000116	2	16.01.2000	23	7	12	11
KHB	20000117	5	17.01.2000	25	11	13	12
KHB	20000118	5	18.01.2000	26	15	11	15
KHB	20000119	5	19.01.2000	21	13	11	10
KHB	20000120	2	20.01.2000	33	19	14	19
KHB	20000121	2	21.01.2000	24	12	14	10
KHB	20000122	2	22.01.2000	21	10	10	11
KHB	20000123	2	23.01.2000	32	13	15	17
KHB	20000124	2	24.01.2000	29	17	11	18
KHB	20000125	2	25.01.2000	28	17	13	15
KHB	20000126	2	26.01.2000	20	10	5	15
KHB	20000127	7	27.01.2000	27	18	9	18
KHB	20000128	1	28.01.2000	23	12	10	13
KHB	20000129	5	29.01.2000	28	16	17	11
KHB	20000130	1	30.01.2000	29	13	11	18
KHB	20000131	2	31.01.2000	34	18	16	18
KHB	20000201	1	01.02.2000	17	6	8	9
KHB	20000202	1	02.02.2000	29	13	15	14
KHB	20000203	2	03.02.2000	26	19	15	11
KHB	20000204	4	04.02.2000	22	10	8	14
KHB	20000205	2	05.02.2000	22	12	8	14
KHB	20000206	5	06.02.2000	28	11	12	16
KHB	20000207	5	07.02.2000	27	12	12	15
KHB	20000208	2	08.02.2000	35	13	14	21
KHB	20000209	5	09.02.2000	27	18	16	11
KHB	20000210	2	10.02.2000	29	14	11	18
KHB	20000211	2	11.02.2000	30	12	13	17
KHB	20000212	5	12.02.2000	26	16	16	10
KHB	20000213	2	13.02.2000	26	13	13	13
KHB	20000214	2	14.02.2000	24	14	12	12
KHB	20000215	2	15.02.2000	30	16	11	19
KHB	20000216	2	16.02.2000	27	14	16	11
KHB	20000217	2	17.02.2000	16	8	7	9
KHB	20000218	2	18.02.2000	25	10	10	15
KHB	20000219	2	19.02.2000	19	14	11	8
KHB	20000220	2	20.02.2000	19	11	9	10
KHB	20000221	2	21.02.2000	24	13	14	10
KHB	20000222	5	22.02.2000	24	15	9	15
KHB	20000223	2	23.02.2000	18	6	7	11
KHB	20000224	5	24.02.2000	23	9	7	16
KHB	20000225	2	25.02.2000	25	16	15	10
KHB	20000226	2	26.02.2000	28	7	9	19
KHB	20000227	2	27.02.2000	19	10	10	9
KHB	20000228	2	28.02.2000	22	14	9	13
KHB	20000229	2	29.02.2000	22	10	6	16
KHB	20000301	1	01.03.2000	20	10	8	12
KHB	20000302	1	02.03.2000	16	8	6	10
KHB	20000303	7	03.03.2000	27	12	9	18
KHB	20000304	7	04.03.2000	22	10	7	15
KHB	20000305	4	05.03.2000	24	9	11	13
KHB	20000306	4	06.03.2000	23	15	13	10
KHB	20000307	5	07.03.2000	20	10	6	14
KHB	20000308	5	08.03.2000	16	10	9	7
KHB	20000309	5	09.03.2000	30	13	12	18
KHB	20000310	2	10.03.2000	23	14	7	16
KHB	20000311	2	11.03.2000	22	7	8	14
KHB	20000312	2	12.03.2000	19	7	8	11
KHB	20000313	2	13.03.2000	15	8	4	11
KHB	20000314	2	14.03.2000	21	14	11	10
KHB	20000315	2	15.03.2000	15	9	5	10
KHB	20000316	1	16.03.2000	16	9	4	12
KHB	20000317	2	17.03.2000	17	5	5	12
KHB	20000318	2	18.03.2000	19	7	11	8
KHB	20000319	2	19.03.2000	16	5	5	11
KHB	20000320	1	20.03.2000	24	11	10	14
