City	Date	SSC	Date	Mo=W+M	65+	W	M	DIS offensife(1,2,3 etc) non-offensive(0)	day of the season	T	Td	AT	T-AT
KHB	20000601	1	01.06.2000	28	11	12	16	0	32	17,7	7,0	21,1	3,4
KHB	20000602	2	02.06.2000	28	10	12	16	0	33	16,7	12,0	21,6	4,9
KHB	20000603	1	03.06.2000	10	2	6	4	0	34	19,1	11,0	23,6	4,5
KHB	20000604	1	04.06.2000	20	9	4	16	0	35	23,5	10,0	27,7	4,2
KHB	20000605	4	05.06.2000	25	12	13	12	0	36	22,7	10,0	26,9	4,2
KHB	20000606	7	06.06.2000	17	9	7	10	0	37	10,4	5,0	13,5	3,1
KHB	20000607	5	07.06.2000	22	13	13	9	0	38	10,9	5,0	13,9	3,0
KHB	20000608	2	08.06.2000	17	9	8	9	0	39	17,2	5,0	20,2	3,0
KHB	20000609	2	09.06.2000	18	7	6	12	0	40	17,8	7,0	21,2	3,4
KHB	20000610	1	10.06.2000	21	7	6	15	0	41	19	7,0	22,4	3,4
KHB	20000611	1	11.06.2000	22	10	9	13	0	42	23,7	12,0	28,6	4,9
KHB	20000612	7	12.06.2000	16	7	8	8	0	43	25,5	14,0	31,2	5,7
KHB	20000613	3	13.06.2000	20	11	10	10	1	44	21	7,0	24,4	3,4
KHB	20000614	1	14.06.2000	29	17	14	15	0	45	21,7	8,0	25,3	3,6
KHB	20000615	1	15.06.2000	28	13	17	11	0	46	25,2	9,0	29,1	3,9
KHB	20000616	1	16.06.2000	29	15	11	18	0	47	25,8	14,0	31,5	5,7
KHB	20000617	3	17.06.2000	18	10	10	8	1	48	24,1	5,9	27,2	3,1
KHB	20000618	4	18.06.2000	16	11	11	5	0	49	13,1	12,0	18,0	4,9
KHB	20000619	4	19.06.2000	16	9	8	8	0	50	15,2	9,0	19,1	3,9
KHB	20000620	2	20.06.2000	19	13	8	11	0	51	19,6	13,0	24,9	5,3
KHB	20000621	4	21.06.2000	16	8	6	10	0	52	15,3	10,0	19,5	4,2
KHB	20000622	1	22.06.2000	21	8	10	11	0	53	20,5	14,0	26,2	5,7
KHB	20000623	1	23.06.2000	26	16	15	11	0	54	29,9	17,0	37,1	7,2
KHB	20000624	6	24.06.2000	28	13	11	17	0	55	29,8	15,0	35,9	6,1
KHB	20000625	6	25.06.2000	29	7	10	19	0	56	27,2	16,0	33,9	6,7
KHB	20000626	6	26.06.2000	11	4	3	8	0	57	23,8	18,0	31,6	7,8
KHB	20000627	6	27.06.2000	20	14	11	9	0	58	23,6	17,0	30,8	7,2
KHB	20000628	4	28.06.2000	17	3	5	12	0	59	21,3	17,0	28,5	7,2
KHB	20000629	4	29.06.2000	18	9	11	7	0	60	19,9	15,0	26,1	6,2
KHB	20000630	4	30.06.2000	21	7	7	14	0	61	19,1	13,0	24,4	5,3
KHB	20000701	4	01.07.2000	20	5	7	13	0	62	19,2	13,0	24,5	5,3
KHB	20000702	1	02.07.2000	19	7	7	12	0	63	25,4	17,0	32,6	7,2
KHB	20000703	3	03.07.2000	30	10	10	20	1	64	28,8	19,0	37,1	8,3
KHB	20000704	3	04.07.2000	28	12	13	15	2	65	30,7	19,0	39,0	8,3
KHB	20000705	4	05.07.2000	25	6	12	13	0	66	21,7	18,0	29,5	7,8
KHB	20000706	6	06.07.2000	24	11	12	12	0	67	23,6	19,0	32,0	8,4
KHB	20000707	4	07.07.2000	21	8	11	10	0	68	27,8	21,0	37,4	9,6
KHB	20000708	3	08.07.2000	21	6	9	12	1	69	26,1	16,0	32,8	6,7
KHB	20000709	3	09.07.2000	20	12	7	13	2	70	29,1	14,0	34,8	5,7
KHB	20000710	3	10.07.2000	28	13	14	14	3	71	34	19,0	42,3	8,3
KHB	20000711	3	11.07.2000	29	12	13	16	4	72	32,2	18,0	39,9	7,7
KHB	20000712	3	12.07.2000	28	19	17	11	5	73	28	21,0	37,6	9,6
KHB	20000713	4	13.07.2000	21	11	8	13	0	74	19,2	18,0	27,0	7,8
KHB	20000714	4	14.07.2000	19	10	9	10	0	75	21	18,0	28,8	7,8
KHB	20000715	4	15.07.2000	22	8	7	15	0	76	23	17,0	30,2	7,2
KHB	20000716	4	16.07.2000	29	11	15	14	0	77	22,3	16,0	29,0	6,7
KHB	20000717	4	17.07.2000	15	8	6	9	0	78	20,3	13,0	25,6	5,3
KHB	20000718	2	18.07.2000	27	13	10	17	0	79	20,8	11,0	25,3	4,5
KHB	20000719	2	19.07.2000	19	8	6	13	0	80	22,7	11,0	27,2	4,5
KHB	20000720	1	20.07.2000	18	6	8	10	0	81	26,3	15,0	32,4	6,1
KHB	20000721	7	21.07.2000	17	10	8	9	0	82	20,6	20,6	30,0	9,4
KHB	20000722	7	22.07.2000	16	5	5	11	0	83	22,5	18,0	30,3	7,8
KHB	20000723	4	23.07.2000	18	8	6	12	0	84	23,8	19,0	32,2	8,4
KHB	20000724	4	24.07.2000	17	4	2	15	0	85	24,6	18,0	32,4	7,8
KHB	20000725	4	25.07.2000	16	8	7	9	0	86	21	19,0	29,4	8,4
KHB	20000726	4	26.07.2000	21	6	9	12	0	87	23,1	16,0	29,8	6,7
KHB	20000727	4	27.07.2000	20	8	5	15	0	88	24,7	16,0	31,4	6,7
KHB	20000728	4	28.07.2000	29	11	9	20	0	89	25,3	18,0	33,0	7,7
KHB	20000729	4	29.07.2000	13	6	7	6	0	90	23	18,0	30,8	7,8
KHB	20000730	5	30.07.2000	16	9	7	9	0	91	18,9	18,9	27,2	8,3
KHB	20000731	4	31.07.2000	28	12	8	20	0	92	20,6	19,0	29,0	8,4
KHB	20000801	4	01.08.2000	18	6	6	12	0	93	21,6	19,0	30,0	8,4
KHB	20000802	6	02.08.2000	21	13	14	7	0	94	24,8	18,0	32,6	7,8
KHB	20000803	6	03.08.2000	21	4	11	10	0	95	26,3	18,0	34,0	7,7
KHB	20000804	6	04.08.2000	13	3	4	9	0	96	27,8	19,0	36,2	8,4
KHB	20000805	6	05.08.2000	26	13	12	14	0	97	28,6	22,0	38,9	10,3
KHB	20000806	6	06.08.2000	22	10	6	16	0	98	27,2	20,0	36,2	9,0
KHB	20000807	66	07.08.2000	34	18	16	18	1	99	27,5	22,0	37,8	10,3
KHB	20000808	6	08.08.2000	18	9	10	8	0	100	25,2	17,0	32,4	7,2
KHB	20000809	7	09.08.2000	22	8	7	15	0	101	27,8	22,0	38,1	10,3
KHB	20000810	7	10.08.2000	17	2	5	12	0	102	25,4	20,0	34,4	9,0
KHB	20000811	6	11.08.2000	15	7	8	7	0	103	24,4	16,0	31,1	6,7
KHB	20000812	6	12.08.2000	16	2	6	10	0	104	26,7	20,0	35,7	9,0
KHB	20000813	3	13.08.2000	22	10	11	11	0	105	28	21,0	37,6	9,6
KHB	20000814	66	14.08.2000	16	9	7	9	1	106	28,6	20,0	37,6	9,0
KHB	20000815	4	15.08.2000	22	11	8	14	0	107	20,4	20,4	29,7	9,3
KHB	20000816	3	16.08.2000	17	10	5	12	1	108	27,3	21,0	36,9	9,6
KHB	20000817	66	17.08.2000	31	19	19	12	2	109	27,1	22,0	37,4	10,3
KHB	20000818	3	18.08.2000	24	14	11	13	3	110	24,2	14,0	29,9	5,7
KHB	20000819	3	19.08.2000	15	8	7	8	4	111	25,5	16,0	32,2	6,7
KHB	20000820	1	20.08.2000	23	9	6	17	0	112	25,6	16,0	32,3	6,7
KHB	20000821	4	21.08.2000	16	8	7	9	0	113	23,2	19,0	31,6	8,4
KHB	20000822	4	22.08.2000	16	5	11	5	0	114	21,4	19,0	29,8	8,4
KHB	20000823	4	23.08.2000	13	7	5	8	0	115	22,8	19,0	31,2	8,4
KHB	20000824	4	24.08.2000	15	7	10	5	0	116	17,8	17,8	25,5	7,7
KHB	20000825	4	25.08.2000	19	9	8	11	0	117	16,3	16,3	23,2	6,9
KHB	20000826	4	26.08.2000	27	11	15	12	0	118	18	15,0	24,2	6,2
KHB	20000827	4	27.08.2000	21	9	10	11	0	119	19,9	14,0	25,7	5,8
KHB	20000828	1	28.08.2000	33	10	12	21	0	120	23,5	17,0	30,7	7,2
KHB	20000829	4	29.08.2000	19	9	7	12	0	121	22,9	17,0	30,1	7,2
KHB	20000830	4	30.08.2000	23	5	4	19	0	122	21,8	19,0	30,2	8,4
KHB	20000831	6	31.08.2000	13	6	5	8	0	123	25,4	21,0	35,1	9,7
KHB	20010601	0	01.06.2001	17	8	9	8	0	32	23	2,5	25,7	2,7
KHB	20010602	1	02.06.2001	25	10	10	15	0	33	25	8,9	28,8	3,8
KHB	20010603	8	03.06.2001	34	14	18	16	0	34	21	4,1	23,9	2,9
KHB	20010604	8	04.06.2001	28	16	12	16	0	35	24		26,6	2,6
KHB	20010605	3	05.06.2001	19	8	9	10	1	36	30	15,7	36,5	6,5
KHB	20010606	7	06.06.2001	36	15	14	22	0	37	18	4,6	20,9	2,9
KHB	20010607	1	07.06.2001	19	7	6	13	0	38	19	1,5	21,6	2,6
KHB	20010608	1	08.06.2001	18	8	9	9	0	39	22	4,1	24,9	2,9
KHB	20010609	4	09.06.2001	27	12	8	19	0	40	16	12,7	21,2	5,2
KHB	20010610	1	10.06.2001	16	6	5	11	0	41	20	1,9	22,7	2,7
KHB	20010611	2	11.06.2001	19	10	7	12	0	42	16	3,4	18,8	2,8
KHB	20010612	2	12.06.2001	22	8	5	17	0	43	15	7,3	18,5	3,5
KHB	20010613	0	13.06.2001	17	8	7	10	0	44			2,7	2,7
KHB	20010614	1	14.06.2001	26	14	15	11	0	45	21	8,6	24,8	3,8
KHB	20010615	0	15.06.2001	22	8	7	15	0	46	25	11,6	29,7	4,7
KHB	20010616	1	16.06.2001	22	12	12	10	0	47	27	12,6	32,1	5,1
KHB	20010617	3	17.06.2001	18	8	10	8	1	48	31	11,4	35,6	4,6
KHB	20010618	0	18.06.2001	26	11	12	14	0	49	23	15,6	29,5	6,5
KHB	20010619	0	19.06.2001	26	12	10	16	0	50	18	7,1	21,4	3,4
KHB	20010620	2	20.06.2001	24	9	7	17	0	51	16	5,3	19,1	3,1
KHB	20010621	1	21.06.2001	26	14	12	14	0	52	21	8,6	24,8	3,8
KHB	20010622	1	22.06.2001	23	13	10	13	0	53	29	5,1	32,0	3,0
KHB	20010623	3	23.06.2001	26	14	14	12	1	54	29	10,2	33,2	4,2
KHB	20010624	6	24.06.2001	21	6	6	15	0	55	27	17,5	34,4	7,4
KHB	20010625	1	25.06.2001	23	12	8	15	0	56	26	7,6	29,5	3,5
KHB	20010626	6	26.06.2001	19	7	6	13	0	57	25	22,7	35,8	10,8
KHB	20010627	4	27.06.2001	31	12	19	12	0	58	22	18,4	30,0	8,0
KHB	20010628	5	28.06.2001	16	9	10	6	0	59	19	13,4	24,5	5,5
KHB	20010629	5	29.06.2001	23	7	5	18	0	60	14	7,8	17,6	3,6
KHB	20010630	2	30.06.2001	15	4	8	7	0	61	21	10,2	25,3	4,3
KHB	20010701	2	01.07.2001	20	10	9	11	0	62	21	12,7	26,2	5,2
KHB	20010702	0	02.07.2001	27	14	10	17	0	63	24	13,2	29,4	5,4
KHB	20010703	0	03.07.2001	22	9	10	12	0	64	22	19,4	30,6	8,6
KHB	20010704	4	04.07.2001	30	15	12	18	0	65	23	17,0	30,2	7,2
KHB	20010705	1	05.07.2001	23	10	14	9	0	66	25	15,0	31,2	6,2
KHB	20010706	0	06.07.2001	23	8	12	11	0	67			2,7	2,7
KHB	20010707	4	07.07.2001	24	16	11	13	0	68	23	15,1	29,2	6,2
KHB	20010708	0	08.07.2001	21	9	9	12	0	69	25	7,6	28,5	3,5
KHB	20010709	0	09.07.2001	34	17	13	21	0	70	28	20,0	37,0	9,0
KHB	20010710	4	10.07.2001	21	10	10	11	0	71	21	19,5	29,7	8,7
KHB	20010711	4	11.07.2001	26	13	7	19	0	72	26	19,4	34,6	8,6
KHB	20010712	0	12.07.2001	24	12	12	12	0	73	17	15,2	23,3	6,3
KHB	20010713	0	13.07.2001	28	14	11	17	0	74	16	15,0	22,2	6,2
KHB	20010714	5	14.07.2001	15	6	9	6	0	75	20	16,6	27,0	7,0
KHB	20010715	4	15.07.2001	28	17	12	16	0	76	22	17,2	29,3	7,3
KHB	20010716	2	16.07.2001	27	9	14	13	0	77	22	15,4	28,4	6,4
KHB	20010717	1	17.07.2001	21	7	11	10	0	78	27	18,6	35,1	8,1
KHB	20010718	1	18.07.2001	23	13	7	16	0	79	28	17,8	35,6	7,6
KHB	20010719	0	19.07.2001	28	12	12	16	0	80	30	18,4	38,0	8,0
KHB	20010720	4	20.07.2001	24	12	13	11	0	81	26	20,8	35,5	9,5
KHB	20010721	4	21.07.2001	22	9	10	12	0	82	26	18,9	34,3	8,3
KHB	20010722	1	22.07.2001	25	10	15	10	0	83	30	19,7	38,7	8,7
KHB	20010723	4	23.07.2001	34	10	16	18	0	84	27	21,3	36,8	9,8
KHB	20010724	0	24.07.2001	13	5	6	7	0	85			2,7	2,7
KHB	20010725	0	25.07.2001	20	10	9	11	0	86	27	19,6	35,7	8,7
