City	Date	Date	Mo=W+M	65+	W	M	SSC	DIS offensife(1,2,3 etc) non-offensive(0)	TOS time of the season	T	Td	AT	T-AT
KHB	20000501	01.05.2000	22	12	8	14	6	0	1	22,3	3,0	25,0	2,7
KHB	20000502	02.05.2000	21	11	6	15	3	1	2	23,7	2,1	26,3	2,6
KHB	20000503	03.05.2000	23	11	9	14	6	0	3	19,7	7,0	23,1	3,4
KHB	20000504	04.05.2000	18	7	5	13	1	0	4	15,7	8,3	19,4	3,7
KHB	20000505	05.05.2000	33	10	8	25	4	0	5	5,7	5,8	8,9	3,2
KHB	20000506	06.05.2000	28	14	7	21	4	0	6	12,7	7,4	16,2	3,5
KHB	20000507	07.05.2000	20	7	8	12	1	0	7	19,5	8,0	23,1	3,6
KHB	20000508	08.05.2000	19	5	6	13	1	0	8	19,8	5,9	23,0	3,2
KHB	20000509	09.05.2000	25	15	10	15	7	0	9	16,4	-6,7	19,7	3,3
KHB	20000510	10.05.2000	14	8	7	7	1	0	10	18,3	0,0	20,9	2,6
KHB	20000511	11.05.2000	15	6	5	10	1	0	11	15,7	1,1	18,3	2,6
KHB	20000512	12.05.2000	18	10	7	11	4	0	12	11,1	7,0	14,5	3,4
KHB	20000513	13.05.2000	27	15	10	17	4	0	13	10,1	8,3	13,8	3,7
KHB	20000514	14.05.2000	19	13	12	7	4	0	14	10,5	10,5	14,9	4,4
KHB	20000515	15.05.2000	19	14	11	8	1	0	15	15,6	5,9	18,8	3,2
KHB	20000516	16.05.2000	17	10	5	12	4	0	16	15,6	9,0	19,5	3,9
KHB	20000517	17.05.2000	21	9	14	7	1	0	17	17,9	10,0	22,1	4,2
KHB	20000518	18.05.2000	26	13	10	16	6	0	18	21,8	10,3	26,1	4,3
KHB	20000519	19.05.2000	23	15	11	12	6	0	19	16,7	13,0	22,0	5,3
KHB	20000520	20.05.2000	20	9	10	10	4	0	20	17,8	12,2	22,8	5,0
KHB	20000521	21.05.2000	25	10	11	14	4	0	21	13,3	11,2	18,0	4,7
KHB	20000522	22.05.2000	18	12	7	11	5	0	22	12,9	12,9	18,2	5,3
KHB	20000523	23.05.2000	20	6	8	12	4	0	23	11	10,3	15,3	4,3
KHB	20000524	24.05.2000	16	8	8	8	4	0	24	18,2	10,2	22,5	4,3
KHB	20000525	25.05.2000	22	10	7	15	4	0	25	18	13,0	23,3	5,3
KHB	20000526	26.05.2000	16	9	8	8	1	0	26	16,9	5,3	20,0	3,1
KHB	20000527	27.05.2000	20	9	12	8	1	0	27	18,3	10,3	22,6	4,3
KHB	20000528	28.05.2000	28	12	12	16	7	0	28	18,3	13,0	23,6	5,3
KHB	20000529	29.05.2000	19	8	6	13	7	0	29	18,2	4,3	21,1	2,9
KHB	20000530	30.05.2000	22	9	7	15	7	0	30	14,1	3,2	16,9	2,8
KHB	20000531	31.05.2000	30	14	14	16	7	0	31	17,8	5,9	21,0	3,2
KHB	20000601	01.06.2000	28	11	12	16	1	0	32	17,7	7,0	21,1	3,4
KHB	20000602	02.06.2000	28	10	12	16	2	0	33	16,7	12,0	21,6	4,9
KHB	20000603	03.06.2000	10	2	6	4	1	0	34	19,1	11,0	23,6	4,5
KHB	20000604	04.06.2000	20	9	4	16	1	0	35	23,5	10,0	27,7	4,2
KHB	20000605	05.06.2000	25	12	13	12	4	0	36	22,7	10,0	26,9	4,2
KHB	20000606	06.06.2000	17	9	7	10	7	0	37	10,4	5,0	13,5	3,1
KHB	20000607	07.06.2000	22	13	13	9	5	0	38	10,9	5,0	13,9	3,0
KHB	20000608	08.06.2000	17	9	8	9	2	0	39	17,2	5,0	20,2	3,0
KHB	20000609	09.06.2000	18	7	6	12	2	0	40	17,8	7,0	21,2	3,4
KHB	20000610	10.06.2000	21	7	6	15	1	0	41	19	7,0	22,4	3,4
KHB	20000611	11.06.2000	22	10	9	13	1	0	42	23,7	12,0	28,6	4,9
KHB	20000612	12.06.2000	16	7	8	8	7	0	43	25,5	14,0	31,2	5,7
KHB	20000613	13.06.2000	20	11	10	10	3	1	44	21	7,0	24,4	3,4
KHB	20000614	14.06.2000	29	17	14	15	1	0	45	21,7	8,0	25,3	3,6
KHB	20000615	15.06.2000	28	13	17	11	1	0	46	25,2	9,0	29,1	3,9
KHB	20000616	16.06.2000	29	15	11	18	1	0	47	25,8	14,0	31,5	5,7
KHB	20000617	17.06.2000	18	10	10	8	3	1	48	24,1	5,9	27,2	3,1
KHB	20000618	18.06.2000	16	11	11	5	4	0	49	13,1	12,0	18,0	4,9
KHB	20000619	19.06.2000	16	9	8	8	4	0	50	15,2	9,0	19,1	3,9
KHB	20000620	20.06.2000	19	13	8	11	2	0	51	19,6	13,0	24,9	5,3
KHB	20000621	21.06.2000	16	8	6	10	4	0	52	15,3	10,0	19,5	4,2
KHB	20000622	22.06.2000	21	8	10	11	1	0	53	20,5	14,0	26,2	5,7
KHB	20000623	23.06.2000	26	16	15	11	1	0	54	29,9	17,0	37,1	7,2
KHB	20000624	24.06.2000	28	13	11	17	6	0	55	29,8	15,0	35,9	6,1
KHB	20000625	25.06.2000	29	7	10	19	6	0	56	27,2	16,0	33,9	6,7
